#Iteration	Stepsize	Acceptance	Energy
0	0.02	inf	3.7424e+16
500	0.02	0.246527	-1.08153
1000	0.02	0.438618	-4.32714
1500	0.02	0.518545	-4.77701
2000	0.02	0.562236	-4.85391
2500	0.02	0.589673	-4.87128
3000	0.02	0.607832	-5.06731
3500	0.02	0.621999	-4.94254
4000	0.02	0.632659	-5.13959
4500	0.02	0.640746	-5.10938
5000	0.02	0.647356	-5.12531
5500	0.02	0.652946	-5.10728
6000	0.02	0.657754	-5.32983
6500	0.02	0.661778	-5.17793
7000	0.02	0.66494	-5.12669
7500	0.02	0.667876	-5.19731
8000	0.02	0.670393	-5.16468
8500	0.02	0.672745	-5.1187
9000	0.02	0.674769	-5.15373
9500	0.02	0.676722	-5.24784
10000	0.02	0.678549	-5.20485
10500	0.02	0.680003	-5.22775
11000	0.02	0.681634	-5.21847
11500	0.02	0.683	-5.24556
12000	0.02	0.684378	-5.23627
12500	0.02	0.685514	-5.22861
13000	0.02	0.686548	-5.25229
13500	0.02	0.687645	-5.22865
14000	0.02	0.688571	-5.35123
14500	0.02	0.689451	-5.34171
15000	0.02	0.690501	-5.32208
15500	0.02	0.691317	-5.26846
16000	0.02	0.692111	-5.2427
16500	0.02	0.692835	-5.26812
17000	0.02	0.693477	-5.28443
17500	0.02	0.694086	-5.2249
